Diagrama,Especie,Ruta,X,Y
NaCl-NaNO3-Na2SO4,Na2SO4x10H20,1,0,0
NaCl-NaNO3-Na2SO4,Na2SO4x10H20,2,55.42562584,48
NaCl-NaNO3-Na2SO4,Na2SO4x10H20,3,144.9887142,0
NaCl-NaNO3-Na2SO4,Na2SO4x10H20,4,0,0
NaCl-NaNO3-Na2SO4,Na2SO4,1,55.42562584,48
NaCl-NaNO3-Na2SO4,Na2SO4,2,88.0069059,76.21621622
NaCl-NaNO3-Na2SO4,Na2SO4,3,136.053846,52.17391304
NaCl-NaNO3-Na2SO4,Na2SO4,4,155.6625149,42.11538462
NaCl-NaNO3-Na2SO4,Na2SO4,5,153.9600718,0
NaCl-NaNO3-Na2SO4,Na2SO4,6,144.9887142,0
NaCl-NaNO3-Na2SO4,Na2SO4,7,55.42562584,48
NaCl-NaNO3-Na2SO4,NaCl,1,88.0069059,76.21621622
NaCl-NaNO3-Na2SO4,NaCl,2,115.4700538,100
NaCl-NaNO3-Na2SO4,NaCl,3,197.0440596,29.35483871
NaCl-NaNO3-Na2SO4,NaCl,4,189.4658953,27.68987342
NaCl-NaNO3-Na2SO4,NaCl,5,180.2362761,32.59005146
NaCl-NaNO3-Na2SO4,NaCl,6,155.6625149,42.11538462
NaCl-NaNO3-Na2SO4,NaCl,7,136.053846,52.17391304
NaCl-NaNO3-Na2SO4,NaCl,8,88.0069059,76.21621622
NaCl-NaNO3-Na2SO4,NaNO3,1,197.0440596,29.35483871
NaCl-NaNO3-Na2SO4,NaNO3,2,230.9401077,0
NaCl-NaNO3-Na2SO4,NaNO3,3,216.2934637,0
NaCl-NaNO3-Na2SO4,NaNO3,4,189.4658953,27.68987342
NaCl-NaNO3-Na2SO4,NaNO3,5,197.0440596,29.35483871
NaCl-NaNO3-Na2SO4,Darapskita,1,153.9600718,0
NaCl-NaNO3-Na2SO4,Darapskita,2,155.6625149,42.11538462
NaCl-NaNO3-Na2SO4,Darapskita,3,180.2362761,32.59005146
NaCl-NaNO3-Na2SO4,Darapskita,4,189.4658953,27.68987342
NaCl-NaNO3-Na2SO4,Darapskita,5,216.2934637,0
NaCl-NaNO3-Na2SO4,Darapskita,6,153.9600718,0
NaNO3-Na2SO4-H2O,Darapskita,1,0,0
NaNO3-Na2SO4-H2O,Darapskita,2,88.56553129,7.3
NaNO3-Na2SO4-H2O,Darapskita,3,230.9401077,0
NaNO3-Na2SO4-H2O,Darapskita,4,0,0
NaNO3-Na2SO4-H2O,Na2SO4x10H20,1,0,0
NaNO3-Na2SO4-H2O,Na2SO4x10H20,2,134.4184489,72.71078876
NaNO3-Na2SO4-H2O,Na2SO4x10H20,3,104.8742616,90.82377477
NaNO3-Na2SO4-H2O,Na2SO4x10H20,4,0,0
NaNO3-Na2SO4-H2O,Na2SO4,1,0,0
NaNO3-Na2SO4-H2O,Na2SO4,2,134.4184489,72.71078876
NaNO3-Na2SO4-H2O,Na2SO4,3,88.56553129,7.3
NaNO3-Na2SO4-H2O,Na2SO4,4,0,0
NaNO3-Na2SO4-H2O,Darapskita2,1,88.56553129,7.3
NaNO3-Na2SO4-H2O,Darapskita2,2,154.3440121,62.01163757
NaNO3-Na2SO4-H2O,Darapskita2,3,134.4184489,72.71078876
NaNO3-Na2SO4-H2O,Darapskita2,4,88.56553129,7.3
NaNO3-Na2SO4-H2O,xx1,1,88.56553129,7.3
NaNO3-Na2SO4-H2O,xx1,2,154.3440121,62.01163757
NaNO3-Na2SO4-H2O,xx1,3,230.9401077,0
NaNO3-Na2SO4-H2O,xx1,4,88.56553129,7.3
NaNO3-Na2SO4-H2O,xx2,1,104.8742616,90.82377477
NaNO3-Na2SO4-H2O,xx2,2,115.4700538,100
NaNO3-Na2SO4-H2O,xx2,3,158.1141378,63.06913997
NaNO3-Na2SO4-H2O,xx2,4,154.3440121,62.01163757
NaNO3-Na2SO4-H2O,xx2,5,134.4184489,72.71078876
NaNO3-Na2SO4-H2O,xx2,6,104.8742616,90.82377477
NaNO3-Na2SO4-H2O,xx3,1,230.9401077,0
NaNO3-Na2SO4-H2O,xx3,2,154.3440121,62.01163757
NaNO3-Na2SO4-H2O,xx3,3,158.1141378,63.06913997
NaNO3-Na2SO4-H2O,xx3,4,230.9401077,0
Na2SO4-KCl-NaNO3,Na2SO4,1,0,0
Na2SO4-KCl-NaNO3,Na2SO4,2,52.73517359,45.67
Na2SO4-KCl-NaNO3,Na2SO4,3,179.6829508,26.37
Na2SO4-KCl-NaNO3,Na2SO4,4,185.0061203,0
Na2SO4-KCl-NaNO3,Na2SO4,5,0,0
Na2SO4-KCl-NaNO3,Glaserita,1,52.73517359,45.67
Na2SO4-KCl-NaNO3,Glaserita,2,95.07804233,82.34
Na2SO4-KCl-NaNO3,Glaserita,3,169.510039,45.28
Na2SO4-KCl-NaNO3,Glaserita,4,185.2486074,27.27
Na2SO4-KCl-NaNO3,Glaserita,5,179.6829508,26.37
Na2SO4-KCl-NaNO3,Glaserita,6,52.73517359,45.67
Na2SO4-KCl-NaNO3,xx1,1,95.07804233,82.34
Na2SO4-KCl-NaNO3,xx1,2,115.4700538,100
Na2SO4-KCl-NaNO3,xx1,3,176.9694045,46.74
Na2SO4-KCl-NaNO3,xx1,4,169.510039,45.28
Na2SO4-KCl-NaNO3,xx1,5,95.07804233,82.34
Na2SO4-KCl-NaNO3,KNO3,1,176.9694045,46.74
Na2SO4-KCl-NaNO3,KNO3,2,204.0933202,23.25
Na2SO4-KCl-NaNO3,KNO3,3,198.3775525,22.74
Na2SO4-KCl-NaNO3,KNO3,4,185.2486074,27.27
Na2SO4-KCl-NaNO3,KNO3,5,169.510039,45.28
Na2SO4-KCl-NaNO3,KNO3,6,176.9694045,46.74
Na2SO4-KCl-NaNO3,xx2,1,204.0933202,23.25
Na2SO4-KCl-NaNO3,xx2,2,230.9401077,0
Na2SO4-KCl-NaNO3,xx2,3,217.8227096,0
Na2SO4-KCl-NaNO3,xx2,4,198.3775525,22.74
Na2SO4-KCl-NaNO3,xx2,5,204.0933202,23.25
Na2SO4-KCl-NaNO3,Darapskita,1,179.6829508,26.37
Na2SO4-KCl-NaNO3,Darapskita,2,185.2486074,27.27
Na2SO4-KCl-NaNO3,Darapskita,3,198.3775525,22.74
Na2SO4-KCl-NaNO3,Darapskita,4,217.8227096,0
Na2SO4-KCl-NaNO3,Darapskita,5,185.0061203,0
Na2SO4-KCl-NaNO3,Darapskita,6,179.6829508,26.37
Na2SO4-MgCl2-NaNO3,Na2SO4,1,0,0
Na2SO4-MgCl2-NaNO3,Na2SO4,2,42.53916783,36.84
Na2SO4-MgCl2-NaNO3,Na2SO4,3,107.5949962,23.48
Na2SO4-MgCl2-NaNO3,Na2SO4,4,158.4018199,13.8
Na2SO4-MgCl2-NaNO3,Na2SO4,5,170.3991584,6.59
Na2SO4-MgCl2-NaNO3,Na2SO4,6,184.9137442,0
Na2SO4-MgCl2-NaNO3,Na2SO4,7,0,0
Na2SO4-MgCl2-NaNO3,Astrakanita,1,42.53916783,36.84
Na2SO4-MgCl2-NaNO3,Astrakanita,2,82.94213967,71.83
Na2SO4-MgCl2-NaNO3,Astrakanita,3,148.1018911,47.78
Na2SO4-MgCl2-NaNO3,Astrakanita,4,171.507671,30.81
Na2SO4-MgCl2-NaNO3,Astrakanita,4,189.8789565,14.14
Na2SO4-MgCl2-NaNO3,Astrakanita,5,177.7084129,14.2
Na2SO4-MgCl2-NaNO3,Astrakanita,6,158.4018199,13.8
Na2SO4-MgCl2-NaNO3,Astrakanita,7,107.5949962,23.48
Na2SO4-MgCl2-NaNO3,Astrakanita,8,42.53916783,36.84
Na2SO4-MgCl2-NaNO3,Epsomita,1,82.94213967,71.83
Na2SO4-MgCl2-NaNO3,Epsomita,2,107.8259363,93.38
Na2SO4-MgCl2-NaNO3,Epsomita,3,150.8500783,61.72
Na2SO4-MgCl2-NaNO3,Epsomita,4,157.2355723,54.41
Na2SO4-MgCl2-NaNO3,Epsomita,5,148.1018911,47.78
Na2SO4-MgCl2-NaNO3,Epsomita,6,82.94213967,71.83
Na2SO4-MgCl2-NaNO3,Bischofita,1,107.8259363,93.38
Na2SO4-MgCl2-NaNO3,Bischofita,2,115.4700538,100
Na2SO4-MgCl2-NaNO3,Bischofita,3,157.5011534,63.6
Na2SO4-MgCl2-NaNO3,Bischofita,4,150.8500783,61.72
Na2SO4-MgCl2-NaNO3,Bischofita,5,107.8259363,93.38
Na2SO4-MgCl2-NaNO3,NaNO3-MgCl2,1,150.8500783,61.72
Na2SO4-MgCl2-NaNO3,NaNO3-MgCl2,2,157.5011534,63.6
Na2SO4-MgCl2-NaNO3,NaNO3-MgCl2,3,163.7480833,58.19
Na2SO4-MgCl2-NaNO3,NaNO3-MgCl2,4,157.2355723,54.41
Na2SO4-MgCl2-NaNO3,NaNO3-MgCl2,5,150.8500783,61.72
Na2SO4-MgCl2-NaNO3,NaNO3,1,163.7480833,58.19
Na2SO4-MgCl2-NaNO3,NaNO3,2,230.9401077,0
Na2SO4-MgCl2-NaNO3,NaNO3,3,217.7996155,0
Na2SO4-MgCl2-NaNO3,NaNO3,4,208.5389172,4.74
Na2SO4-MgCl2-NaNO3,NaNO3,5,189.8789565,14.14
Na2SO4-MgCl2-NaNO3,NaNO3,6,171.507671,30.81
Na2SO4-MgCl2-NaNO3,NaNO3,7,148.1018911,47.78
Na2SO4-MgCl2-NaNO3,NaNO3,8,157.2355723,54.41
Na2SO4-MgCl2-NaNO3,NaNO3,9,163.7480833,58.19
Na2SO4-MgCl2-NaNO3,Darapskita,1,158.4018199,13.8
Na2SO4-MgCl2-NaNO3,Darapskita,2,177.7084129,14.2
Na2SO4-MgCl2-NaNO3,Darapskita,3,189.8789565,14.14
Na2SO4-MgCl2-NaNO3,Darapskita,4,208.5389172,4.74
Na2SO4-MgCl2-NaNO3,Darapskita,5,217.7996155,0
